commune,st_area_sh,Total_Pop,PopDens,NbArrets,PopNonServ
Meinier,6953480,2083,299.56219197,24,144
Avusy,5172039,1412,273.0064395,20,142
Perly-Certoux,2536601,3185,1255.61684944,16,147
Laconnex,3831199,676,176.446063335,7,6
Vandoeuvres,4419792,2971,672.203545461,28,701
Choulex,3908909,1260,322.340511015,21,284
Collonge-Bellerive,10692805,8630,807.08474473,45,1576
Genthod,5300323,2887,544.683699043,19,252
Plan-les-Ouates,5853823,12209,2085.64522832,58,1274
Presinge,4707521,745,158.257369699,15,196
Corsier,4292776,2294,534.386084348,10,133
Bellevue,6346794,4081,643.001754201,25,567
Anières,8771934,2588,295.031841857,27,30
Chêne-Bourg,1280775,9461,7386.92962758,25,34
Grand-Saconnex,4382041,12826,2926.94603549,66,32
Russin,4909794,521,106.114421759,7,64
Pregny-Chambésy,6269099,3948,629.755567001,26,738
Cologny,7432120,6037,812.285053493,40,649
Chêne-Bougeries,4140334,13822,3338.37785573,45,1025
Avully,4618320,1764,381.957037647,16,408
Satigny,18921147,4642,245.333952358,59,177
Bernex,12953893,10911,842.29500409,62,406
Aire-la-Ville,2926523,1158,395.691373887,7,8
Cartigny,4383480,1036,236.341884623,13,41
Confignon,2772010,4565,1646.81902924,14,459
Onex,2813932,18874,6707.33912483,31,644
Meyrin,9937363,26849,2701.82337565,69,2661
Gy,3286288,553,168.274931157,6,69
Troinex,3429907,2871,837.048760599,15,411
Bardonnex,4996992,2545,509.306313442,17,289
Chancy,5380929,1643,305.337608175,12,142
Céligny,8585943,876,102.027223266,2,409
Jussy,11350265,1174,103.433706381,39,165
Soral,2942051,954,324.263561915,6,40
Veyrier,6496709,11916,1834.15923293,57,1338
Thônex,3820220,16762,4387.70500879,54,591
Puplinge,2672172,2560,958.022013842,20,42
Vernier,7687334,37522,4881.01533949,95,868
Genève,18296242,205823,11249.4681507,372,1013
Lancy,4774294,36217,7585.83252063,80,784
Hermance,4905640,1245,253.789494169,7,30
Versoix,15149980,13977,922.575425126,45,955
Collex-Bossy,6886683,1683,244.384701111,18,183
Dardagny,8598279,1869,217.369073256,27,104
Carouge,2696644,22586,8375.5947856,42,176
